data;
set N:= 1 2 3 4 5 6;


set E:
		1	2	3	4	5	6 :=

	1	-	+	-	+	-	-	
	2	+	-	+	-	-	-	
	3	-	+	-	-	-	+	
	4	+	-	-	-	+	-	
	5	-	+	-	+	-	+
	6	-	-	+	-	+	- ;


set D:

		1	2	3	4	5	6 :=

	1	-	+	+	+	+	+
	2	+	-	+	+	+	+
	3	+	+	-	+	+	+
	4	+	+	+	-	+	+
	5	+	+	+	+	-	+
	6	+	+	+	+	+	- ;	

set T:= 1 2 3;


param v[*,*,1]:
		1	2	3	4	5	6   :=

	1	.	100	0	0	0	100	
	2	100	.	0	0	100	0	
	3	100	0	.	0	0	0	
	4	0	0	100	.	0	100	
	5	100	0	0	0	.	0	
	6	0	0	100	100	0	.   
    
    [*,*,2]:
		1	2	3	4	5	6   :=

	1	.	0	100	0	0	0	
	2	0	.	0	0	100	0	
	3	0	0	.	100	0	0	
	4	100	0	0	.	0	100	
	5	0	100	0	0	.	0	
	6	0	100	0	100	0	.

	[*,*,3]:
		1	2	3	4	5	6   :=

	1	.	0	100	0	0	0	
	2	0	.	0	0	100	0	
	3	0	0	.	100	0	0	
	4	100	0	0	.	0	100	
	5	0	100	0	0	.	0	
	6	0	100	0	100	0	.   ;


set M:= 1 2 3 4;

param d_[*]:= 1 8	2 4		3 2		4 1 ;

param ef[*]:= 1 1	2 2		3 3		4 4 ;
